Exercise,Muscle,Equipment,Difficulty,Male,Female
Plate Squat Hold Curl,"Biceps, Glutes, Quads",Plate,Intermediate,https://musclewiki.com/plate/male/biceps/plate-squat-hold-curl,https://musclewiki.com/plate/female/biceps/plate-squat-hold-curl
Plate Pinch Grip Row,"Biceps, Forearms, Lats",Plate,Intermediate,https://musclewiki.com/plate/male/biceps/plate-pinch-grip-row,https://musclewiki.com/plate/female/biceps/plate-pinch-grip-row
Weighted Chin Ups,"Biceps, Forearms, Lats",Plate,Advanced,https://musclewiki.com/plate/male/biceps/weighted-chin-ups,https://musclewiki.com/plate/female/biceps/weighted-chin-ups
TRX Curl,Biceps,TRX,Beginner,https://musclewiki.com/trx/male/biceps/trx-curl,https://musclewiki.com/trx/female/biceps/trx-curl
TRX Hammer Curl,Biceps,TRX,Beginner,https://musclewiki.com/trx/male/biceps/trx-hammer-curl,https://musclewiki.com/trx/female/biceps/trx-hammer-curl
TRX Reverse Curl,"Biceps, Forearms",TRX,Intermediate,https://musclewiki.com/trx/male/biceps/trx-reverse-curl,https://musclewiki.com/trx/female/biceps/trx-reverse-curl
TRX Rotating Row,"Biceps, Lats",TRX,Beginner,https://musclewiki.com/trx/male/biceps/trx-rotating-row,https://musclewiki.com/trx/female/biceps/trx-rotating-row
TRX Single Arm row,"Biceps, Lats",TRX,Beginner,https://musclewiki.com/trx/male/biceps/trx-single-arm-row,https://musclewiki.com/trx/female/biceps/trx-single-arm-row
Corpse Pose,Biceps,Yoga,Beginner,https://musclewiki.com/yoga/male/biceps/corpe-pose,https://musclewiki.com/yoga/female/biceps/corpe-pose
Crow Pose,Biceps,Yoga,Advanced,https://musclewiki.com/yoga/male/biceps/crow-pose,https://musclewiki.com/yoga/female/biceps/crow-pose
Downward Dog,Biceps,Yoga,Beginner,https://musclewiki.com/yoga/male/biceps/downward-dog,https://musclewiki.com/yoga/female/biceps/downward-dog
Downward Dog With Fingers Facing Feet,Biceps,Yoga,Beginner,https://musclewiki.com/yoga/male/biceps/downward-dog-with-fingers-facing-feet,https://musclewiki.com/yoga/female/biceps/downward-dog-with-fingers-facing-feet
Scorpion Twist Pose,Biceps,Yoga,Beginner,https://musclewiki.com/yoga/male/biceps/scorpion-twist-pose,https://musclewiki.com/yoga/female/biceps/scorpion-twist-pose
Seated Arm Stretch,Biceps,Yoga,Beginner,https://musclewiki.com/yoga/male/biceps/seated-arm-stretch,https://musclewiki.com/yoga/female/biceps/seated-arm-stretch
Bosu Ball Curl,Biceps,Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/biceps/curl,https://musclewiki.com/bosu-ball/female/biceps/curl
Bosu Ball Row,"Biceps, Lats",Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/biceps/row,https://musclewiki.com/bosu-ball/female/biceps/row
Vitruvian Hammer Curl,"Biceps, Forearms",Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/biceps/hammer-curl,https://musclewiki.com/vitruvian/female/biceps/hammer-curl
Vitruvian Row,"Biceps, Traps (mid-back), Forearms, Lats",Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/biceps/row,https://musclewiki.com/vitruvian/female/biceps/row
Vitruvian Single Arm Row,"Biceps, Traps (mid-back), Lats",Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/biceps/single-arm-row,https://musclewiki.com/vitruvian/female/biceps/single-arm-row
Cardio Band Hammer Curl Jacks,"Biceps, Gluteus Medius",Cardio,Beginner,https://musclewiki.com/cardio/male/biceps/cardio-band-hammer-curl-jacks,https://musclewiki.com/cardio/female/biceps/cardio-band-hammer-curl-jacks
Cardio Row Erg Rower Arms Only,"Biceps, Lats",Cardio,Beginner,https://musclewiki.com/cardio/male/biceps/cardio-row-erg-rower-arms-only,https://musclewiki.com/cardio/female/biceps/cardio-row-erg-rower-arms-only
Cardio Row Erg Rower Four Stroke Sprint Start,"Biceps, Glutes, Lats, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/biceps/cardio-row-erg-rower-four-stroke-sprint-start,https://musclewiki.com/cardio/female/biceps/cardio-row-erg-rower-four-stroke-sprint-start
